weight_id,w_gmic,w_nyu,w_glam,threshold_id,threshold_quantile,threshold,threshold_source,ground_truth_used_for_threshold_derivation,tn,fp,fn,tp,sensitivity,sensitivity_unavailable_reason,specificity,specificity_unavailable_reason,precision_ppv,precision_ppv_unavailable_reason,npv,npv_unavailable_reason,fpr,accuracy,balanced_accuracy,f1,f1_unavailable_reason,roc_auc,roc_auc_unavailable_reason,average_precision,auprc,auprc_method,auprc_unavailable_reason,diagnostic_only,eligible_for_freeze
W01,0.333333,0.333333,0.333334,T01,0.1,0.01576665867,analysis_score_quantile,False,348,3078,9,135,0.9375,,0.10157618213660245,,0.04201680672268908,,0.9747899159663865,,0.8984238178633975,0.13529411764705881,0.5195380910683012,0.08042895442359249,,0.7141375997275735,,0.1385067490755592,0.1385067490755592,average_precision_score,,True,False
W01,0.333333,0.333333,0.333334,T02,0.3,0.03336665606,analysis_score_quantile,False,1056,2370,15,129,0.8958333333333334,,0.30823117338003503,,0.05162064825930372,,0.9859943977591037,,0.691768826619965,0.3319327731092437,0.6020322533566842,0.09761634506242906,,0.7141375997275735,,0.1385067490755592,0.1385067490755592,average_precision_score,,True,False
W01,0.333333,0.333333,0.333334,T03,0.5,0.0597666479,analysis_score_quantile,False,1761,1665,24,120,0.8333333333333334,,0.5140105078809106,,0.06722689075630252,,0.9865546218487395,,0.4859894921190893,0.526890756302521,0.673671920607122,0.12441679626749612,,0.7141375997275735,,0.1385067490755592,0.1385067490755592,average_precision_score,,True,False
W01,0.333333,0.333333,0.333334,T04,0.7,0.14286996740999994,analysis_score_quantile,False,2444,982,55,89,0.6180555555555556,,0.7133683596030356,,0.08309990662931839,,0.9779911964785915,,0.28663164039696437,0.7095238095238096,0.6657119575792956,0.14650205761316873,,0.7141375997275735,,0.1385067490755592,0.1385067490755592,average_precision_score,,True,False
W01,0.333333,0.333333,0.333334,T05,0.9,0.33623633914,analysis_score_quantile,False,3110,316,103,41,0.2847222222222222,,0.9077641564506713,,0.11484593837535013,,0.967942732648615,,0.09223584354932866,0.8826330532212885,0.5962431893364468,0.16367265469061876,,0.7141375997275735,,0.1385067490755592,0.1385067490755592,average_precision_score,,True,False
W02,0.4,0.3,0.3,T01,0.1,0.015590000000000001,analysis_score_quantile,False,349,3077,8,136,0.9444444444444444,,0.10186806771745475,,0.042328042328042326,,0.9775910364145658,,0.8981319322825453,0.13585434173669467,0.5231562560809496,0.08102472445635985,,0.7115775199455145,,0.13397472080932837,0.13397472080932837,average_precision_score,,True,False
W02,0.4,0.3,0.3,T02,0.3,0.033567,analysis_score_quantile,False,1056,2370,15,129,0.8958333333333334,,0.30823117338003503,,0.05162064825930372,,0.9859943977591037,,0.691768826619965,0.3319327731092437,0.6020322533566842,0.09761634506242906,,0.7115775199455145,,0.13397472080932837,0.13397472080932837,average_precision_score,,True,False
W02,0.4,0.3,0.3,T03,0.5,0.06114499999999999,analysis_score_quantile,False,1760,1666,25,119,0.8263888888888888,,0.5137186223000584,,0.06666666666666667,,0.9859943977591037,,0.4862813776999416,0.5263305322128852,0.6700537555944737,0.12337998963193364,,0.7115775199455145,,0.13397472080932837,0.13397472080932837,average_precision_score,,True,False
W02,0.4,0.3,0.3,T04,0.7,0.14787599999999998,analysis_score_quantile,False,2443,983,56,88,0.6111111111111112,,0.7130764740221833,,0.08216619981325864,,0.9775910364145658,,0.2869235259778167,0.7089635854341737,0.6620937925666472,0.1448559670781893,,0.7115775199455145,,0.13397472080932837,0.13397472080932837,average_precision_score,,True,False
W02,0.4,0.3,0.3,T05,0.9,0.4,analysis_score_quantile,False,2836,590,99,45,0.3125,,0.8277875072971396,,0.07086614173228346,,0.9662691652470188,,0.1722124927028605,0.8070028011204482,0.5701437536485698,0.11553273427471117,,0.7115775199455145,,0.13397472080932837,0.13397472080932837,average_precision_score,,True,False
W03,0.3,0.4,0.3,T01,0.1,0.016859,analysis_score_quantile,False,347,3079,10,134,0.9305555555555556,,0.10128429655575015,,0.041705571117335825,,0.9719887955182073,,0.8987157034442499,0.13473389355742296,0.5159199260556528,0.07983318439082514,,0.71584837354868,,0.13760104489733582,0.13760104489733582,average_precision_score,,True,False
W03,0.3,0.4,0.3,T02,0.3,0.034459000000000004,analysis_score_quantile,False,1056,2370,15,129,0.8958333333333334,,0.30823117338003503,,0.05162064825930372,,0.9859943977591037,,0.691768826619965,0.3319327731092437,0.6020322533566842,0.09761634506242906,,0.71584837354868,,0.13760104489733582,0.13760104489733582,average_precision_score,,True,False
W03,0.3,0.4,0.3,T03,0.5,0.06119,analysis_score_quantile,False,1761,1665,24,120,0.8333333333333334,,0.5140105078809106,,0.06722689075630252,,0.9865546218487395,,0.4859894921190893,0.526890756302521,0.673671920607122,0.12441679626749612,,0.71584837354868,,0.13760104489733582,0.13760104489733582,average_precision_score,,True,False
W03,0.3,0.4,0.3,T04,0.7,0.14302399999999998,analysis_score_quantile,False,2444,982,55,89,0.6180555555555556,,0.7133683596030356,,0.08309990662931839,,0.9779911964785915,,0.28663164039696437,0.7095238095238096,0.6657119575792956,0.14650205761316873,,0.71584837354868,,0.13760104489733582,0.13760104489733582,average_precision_score,,True,False
W03,0.3,0.4,0.3,T05,0.9,0.30638299999999996,analysis_score_quantile,False,3113,313,100,44,0.3055555555555556,,0.9086398131932283,,0.12324929971988796,,0.9688764394646747,,0.09136018680677174,0.884313725490196,0.6070976843743919,0.17564870259481039,,0.71584837354868,,0.13760104489733582,0.13760104489733582,average_precision_score,,True,False
W04,0.3,0.3,0.4,T01,0.1,0.01491,analysis_score_quantile,False,346,3080,9,135,0.9375,,0.10099241097489783,,0.041990668740279936,,0.9746478873239437,,0.8990075890251021,0.13473389355742296,0.5192462054874489,0.0803810657933909,,0.7150385937601349,,0.14033441807203845,0.14033441807203845,average_precision_score,,True,False
W04,0.3,0.3,0.4,T02,0.3,0.031811,analysis_score_quantile,False,1056,2370,15,129,0.8958333333333334,,0.30823117338003503,,0.05162064825930372,,0.9859943977591037,,0.691768826619965,0.3319327731092437,0.6020322533566842,0.09761634506242906,,0.7150385937601349,,0.14033441807203845,0.14033441807203845,average_precision_score,,True,False
W04,0.3,0.3,0.4,T03,0.5,0.05751,analysis_score_quantile,False,1761,1665,24,120,0.8333333333333334,,0.5140105078809106,,0.06722689075630252,,0.9865546218487395,,0.4859894921190893,0.526890756302521,0.673671920607122,0.12441679626749612,,0.7150385937601349,,0.14033441807203845,0.14033441807203845,average_precision_score,,True,False
