model,roc_auc,average_precision,auprc,auprc_method,roc_auc_ci95_low,roc_auc_ci95_high,bootstrap_replicates,bootstrap_method,mean_benign,mean_malignant,median_benign,median_malignant,min_score,max_score,directionality_warning
gmic,0.6955086106246351,0.06714514106697536,0.06714514106697536,average_precision_score,0.6535284203314523,0.7339776606181488,2000,stratified_by_class,0.2376265032107414,0.4385979166666666,0.06555,0.38495,0.001,1.0,False
nyu,0.6875000000000001,0.10591646369040267,0.10591646369040267,average_precision_score,0.6400937783777647,0.7361417692320166,2000,stratified_by_class,0.10168099824868652,0.20622291666666664,0.04945,0.12129999999999999,0.0,0.9225,False
glam,0.6816166812609457,0.12696454185579822,0.12696454185579822,average_precision_score,0.6279104184909515,0.7350372660861386,2000,stratified_by_class,0.04854497956800933,0.1465201388888889,0.0184,0.0663,0.0,0.9904,False
baseline_ensemble,0.7141375997275735,0.1385067490755592,0.1385067490755592,average_precision_score,0.668593972968152,0.7557515141564506,2000,stratified_by_class,0.1292840796032983,0.2637802068138889,0.05683334500000001,0.22316655585,0.0093333279,0.8218665644,False
