weight_id,threshold_id,threshold_quantile,w_gmic,w_nyu,w_glam,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_ppv_mean,precision_ppv_std,npv_mean,npv_std,fpr_mean,fpr_std,accuracy_mean,accuracy_std,f1_mean,f1_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,threshold_mean,threshold_std,full_configuration_threshold,baseline_distance,is_best_auc_weight
W17,T05,0.5,0.1,0.1,0.8,0.7242440219922628,0.04116476903460254,0.1529060489392679,0.050060426819278865,0.1529060489392679,0.050060426819278865,0.6735648425707345,0.034546500352993566,0.8339901477832512,0.07396548033246622,0.5131395373582175,0.009402634772046942,0.067083195638073,0.00450405613503505,0.986606721570042,0.005916647356672767,0.48686046264178245,0.009402634772046949,0.5260504201680672,0.00795981638004647,0.12416844264696343,0.008466094038514298,351.6,6.228964600958969,333.6,6.6558245169175,4.8,2.16794833886788,24.0,1.8708286933869707,0.040963,0.0002299075901313382,0.040985,0.7330487729742134,True
W17,T06,0.6,0.1,0.1,0.8,0.7242440219922628,0.04116476903460254,0.1529060489392679,0.050060426819278865,0.1529060489392679,0.050060426819278865,0.671821313545734,0.02538377497136968,0.7298029556650246,0.05929006821622744,0.6138396714264434,0.010296638377292411,0.07347850128343272,0.0031624221065939665,0.9818471069141086,0.003913616421873257,0.38616032857355664,0.01029663837729242,0.6184873949579832,0.008021188270743032,0.1334974124927233,0.006130316331873077,420.6,6.8410525505948305,264.6,7.197221686178635,7.8,1.7888543819998317,21.0,1.4142135623730951,0.058820000000000004,0.0007417883795261283,0.05856,0.7221738065964454,True
W17,T08,0.8,0.1,0.1,0.8,0.7242440219922628,0.04116476903460254,0.1529060489392679,0.050060426819278865,0.1529060489392679,0.050060426819278865,0.6708287060104686,0.03273568154297651,0.5275862068965518,0.0640488814517473,0.8140712051243856,0.009875851506666514,0.10672666300835314,0.013688900460076696,0.9762041547338031,0.0031327760210918677,0.18592879487561448,0.009875851506666491,0.8025210084033614,0.009903456319139288,0.1774720925055737,0.022181253196107573,557.8,6.610597552415369,127.4,6.804410334481597,13.6,1.8165902124584947,15.2,1.9235384061671346,0.109026,0.0010304028338470332,0.10895800000000003,0.6925168439092294,True
W17,T07,0.7,0.1,0.1,0.8,0.7242440219922628,0.04116476903460254,0.1529060489392679,0.050060426819278865,0.1529060489392679,0.050060426819278865,0.6584104439661593,0.03994773634071229,0.6113300492610838,0.07324014942953937,0.705490838671235,0.014263576107990323,0.08042467581611537,0.011025637479460615,0.977340565474325,0.004463176104432777,0.2945091613287651,0.014263576107990335,0.7016806722689075,0.015084495258079846,0.14211445432250153,0.01902204872533266,483.4,9.633275663033837,201.8,9.833615815151619,11.2,2.16794833886788,17.6,2.073644135332772,0.1,0.0,0.1,0.6976143156028265,True
W17,T09,0.85,0.1,0.1,0.8,0.7242440219922628,0.04116476903460254,0.1529060489392679,0.050060426819278865,0.1529060489392679,0.050060426819278865,0.6354359308715756,0.034733820341032166,0.4100985221674877,0.06471086037152539,0.8607733395756634,0.012877679263145527,0.11083145844150018,0.02028865471497625,0.9719795384900927,0.003341786183509952,0.13922666042433657,0.012877679263145531,0.8425770308123249,0.013272109513145317,0.17429825401187657,0.030107432781348545,589.8,8.67179335547153,95.4,8.848728722251577,17.0,2.0,11.8,1.7888543819998317,0.14790150000000002,0.0016911604743489101,0.14794050000000003,0.6712761167166981,True
W17,T10,0.9,0.1,0.1,0.8,0.7242440219922628,0.04116476903460254,0.1529060489392679,0.050060426819278865,0.1529060489392679,0.050060426819278865,0.6350521413124597,0.04259137289412793,0.36847290640394087,0.08883400259192,0.9016313762209786,0.026180891212918205,0.13929643929643928,0.038193738126879095,0.9714019305828124,0.003956584438963928,0.09836862377902152,0.026180891212918233,0.8801120448179273,0.024431648099098868,0.2006831068199988,0.04936996488150164,617.8,18.03330252615975,67.4,17.924843095547587,18.2,2.6832815729997477,10.6,2.5099800796022267,0.151507,0.0015247524389224666,0.15155599999999994,0.6693869990297093,True
W17,T04,0.4,0.1,0.1,0.8,0.7242440219922628,0.04116476903460254,0.1529060489392679,0.050060426819278865,0.1529060489392679,0.050060426819278865,0.6325389821528554,0.02677554544799136,0.8546798029556649,0.06563011130282873,0.41039816135004575,0.016082188998433083,0.057364327728453915,0.002886651955851842,0.9854644481786725,0.006144699251911605,0.5896018386499542,0.016082188998433063,0.4282913165266106,0.01366533436151313,0.10750339897946204,0.005519142742189752,281.2,10.871982339941505,404.0,11.247221879201994,4.2,1.9235384061671346,24.6,1.6733200530681513,0.030082000000000005,0.0003371498183300707,0.030090000000000016,0.7399196857997494,True
W17,T11,0.92,0.1,0.1,0.8,0.7242440219922628,0.04116476903460254,0.1529060489392679,0.050060426819278865,0.1529060489392679,0.050060426819278865,0.6319914121486213,0.0380910641260309,0.33374384236453203,0.07400442949543652,0.9302389819327106,0.005409018987093184,0.16735920104267055,0.0366432092091023,0.9707607253117058,0.0034361287091587947,0.06976101806728949,0.005409018987093165,0.9061624649859944,0.007002801120448154,0.22277166962362652,0.04860005158381612,637.4,3.781534080237805,47.8,3.70135110466435,19.2,2.280350850198276,9.6,2.073644135332772,0.17122319999999996,0.001077242405403723,0.1709884,0.6594803759540991,True
W17,T12,0.94,0.1,0.1,0.8,0.7242440219922628,0.04116476903460254,0.1529060489392679,0.050060426819278865,0.1529060489392679,0.050060426819278865,0.6064577259475218,0.03357693153862147,0.2642857142857143,0.06493079884684591,0.9486297376093293,0.005480313927216638,0.17843995435458848,0.04699012549741175,0.9684171955255376,0.0030167953344452146,0.05137026239067055,0.0054803139272166295,0.9210084033613445,0.006613848153007086,0.21263664603508065,0.05305906254101892,650.0,3.5355339059327457,35.2,3.768288736283354,21.2,2.04939015319192,7.6,1.816590212458495,0.21116939999999987,0.0019136680224114235,0.21078159999999982,0.6405568017221893,True
W17,T03,0.3,0.1,0.1,0.8,0.7242440219922628,0.04116476903460254,0.1529060489392679,0.050060426819278865,0.1529060489392679,0.050060426819278865,0.5949375008714067,0.01858594126934442,0.882512315270936,0.05180910216174177,0.3073626864718776,0.01596944344664163,0.050783112480089806,0.0012137571170018036,0.9843936711436712,0.006515821186480403,0.6926373135281224,0.015969443446641633,0.33053221288515405,0.013722631612230689,0.0960337148227854,0.002435155845327072,210.6,10.830512453249847,474.6,11.216059914247964,3.4,1.51657508881031,25.4,1.1401754250991378,0.022144000000000004,0.0001536798620509518,0.022130000000000004,0.7450003155932218,True
