fold,weight_id,threshold_id,threshold_quantile,threshold,threshold_source,ground_truth_used_for_threshold_derivation,w_gmic,w_nyu,w_glam,training_studies,validation_studies,training_malignant,validation_malignant,tn,fp,fn,tp,sensitivity,sensitivity_unavailable_reason,specificity,specificity_unavailable_reason,precision_ppv,precision_ppv_unavailable_reason,npv,npv_unavailable_reason,fpr,accuracy,balanced_accuracy,f1,f1_unavailable_reason,roc_auc,roc_auc_unavailable_reason,average_precision,auprc,auprc_method,auprc_unavailable_reason
1,W01,T01,0.1,0.01574999445,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,69,617,1,27,0.9642857142857143,,0.10058309037900874,,0.04192546583850932,,0.9857142857142858,,0.8994169096209913,0.13445378151260504,0.5324344023323615,0.08035714285714286,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T02,0.2,0.0229666555,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,123,563,1,27,0.9642857142857143,,0.1793002915451895,,0.04576271186440678,,0.9919354838709677,,0.8206997084548106,0.21008403361344538,0.5717930029154519,0.08737864077669903,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T03,0.3,0.032966651250000006,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,194,492,1,27,0.9642857142857143,,0.282798833819242,,0.05202312138728324,,0.9948717948717949,,0.717201166180758,0.30952380952380953,0.6235422740524781,0.09872029250457039,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T04,0.4,0.0434666379,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,266,420,2,26,0.9285714285714286,,0.3877551020408163,,0.05829596412556054,,0.9925373134328358,,0.6122448979591837,0.40896358543417366,0.6581632653061225,0.10970464135021098,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T05,0.5,0.05918331974999999,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,347,339,2,26,0.9285714285714286,,0.5058309037900874,,0.07123287671232877,,0.994269340974212,,0.49416909620991256,0.5224089635854342,0.717201166180758,0.13231552162849872,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T06,0.6,0.0865333012,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,406,280,6,22,0.7857142857142857,,0.5918367346938775,,0.0728476821192053,,0.9854368932038835,,0.40816326530612246,0.5994397759103641,0.6887755102040816,0.13333333333333333,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T07,0.7,0.14153332114999997,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,480,206,10,18,0.6428571428571429,,0.6997084548104956,,0.08035714285714286,,0.9795918367346939,,0.30029154518950435,0.6974789915966386,0.6712827988338192,0.14285714285714285,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T08,0.8,0.2853332061,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,545,141,14,14,0.5,,0.7944606413994169,,0.09032258064516129,,0.9749552772808586,,0.2055393586005831,0.7829131652661064,0.6472303206997084,0.15300546448087432,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T09,0.85,0.333333,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,557,129,18,10,0.35714285714285715,,0.8119533527696793,,0.07194244604316546,,0.9686956521739131,,0.1880466472303207,0.7941176470588235,0.5845481049562682,0.11976047904191617,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T10,0.9,0.3362330058,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,617,69,21,7,0.25,,0.8994169096209913,,0.09210526315789473,,0.9670846394984326,,0.10058309037900874,0.8739495798319328,0.5747084548104957,0.1346153846153846,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T11,0.92,0.37055998312,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,627,59,21,7,0.25,,0.9139941690962099,,0.10606060606060606,,0.9675925925925926,,0.08600583090379009,0.8879551820728291,0.581997084548105,0.14893617021276595,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T12,0.94,0.4999995,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,638,48,25,3,0.10714285714285714,,0.9300291545189504,,0.058823529411764705,,0.9622926093514329,,0.06997084548104957,0.8977591036414566,0.5185860058309038,0.0759493670886076,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T13,0.95,0.4999995,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,638,48,25,3,0.10714285714285714,,0.9300291545189504,,0.058823529411764705,,0.9622926093514329,,0.06997084548104957,0.8977591036414566,0.5185860058309038,0.0759493670886076,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T14,0.96,0.4999995,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,638,48,25,3,0.10714285714285714,,0.9300291545189504,,0.058823529411764705,,0.9622926093514329,,0.06997084548104957,0.8977591036414566,0.5185860058309038,0.0759493670886076,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T15,0.97,0.4999995,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,638,48,25,3,0.10714285714285714,,0.9300291545189504,,0.058823529411764705,,0.9622926093514329,,0.06997084548104957,0.8977591036414566,0.5185860058309038,0.0759493670886076,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T16,0.98,0.4999995,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,638,48,25,3,0.10714285714285714,,0.9300291545189504,,0.058823529411764705,,0.9622926093514329,,0.06997084548104957,0.8977591036414566,0.5185860058309038,0.0759493670886076,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W01,T17,0.99,0.5371749483149996,cv_training_fold_score_quantile,False,0.333333,0.333333,0.333334,2856,714,116,28,685,1,25,3,0.10714285714285714,,0.9985422740524781,,0.75,,0.9647887323943662,,0.0014577259475218659,0.9635854341736695,0.5528425655976676,0.1875,,0.741878384006664,,0.14044011987392743,0.14044011987392743,average_precision_score,
1,W02,T01,0.1,0.015550000000000001,cv_training_fold_score_quantile,False,0.4,0.3,0.3,2856,714,116,28,67,619,0,28,1.0,,0.09766763848396501,,0.04327666151468315,,1.0,,0.902332361516035,0.1330532212885154,0.5488338192419825,0.08296296296296296,,0.7434922948771345,,0.14172727356958023,0.14172727356958023,average_precision_score,
1,W02,T02,0.2,0.023319999999999997,cv_training_fold_score_quantile,False,0.4,0.3,0.3,2856,714,116,28,122,564,1,27,0.9642857142857143,,0.17784256559766765,,0.04568527918781726,,0.991869918699187,,0.8221574344023324,0.20868347338935575,0.5710641399416909,0.08723747980613894,,0.7434922948771345,,0.14172727356958023,0.14172727356958023,average_precision_score,
1,W02,T03,0.3,0.03314,cv_training_fold_score_quantile,False,0.4,0.3,0.3,2856,714,116,28,192,494,1,27,0.9642857142857143,,0.27988338192419826,,0.05182341650671785,,0.9948186528497409,,0.7201166180758017,0.3067226890756303,0.6220845481049563,0.09836065573770492,,0.7434922948771345,,0.14172727356958023,0.14172727356958023,average_precision_score,
1,W02,T04,0.4,0.04449,cv_training_fold_score_quantile,False,0.4,0.3,0.3,2856,714,116,28,268,418,2,26,0.9285714285714286,,0.39067055393586003,,0.05855855855855856,,0.9925925925925926,,0.60932944606414,0.4117647058823529,0.6596209912536444,0.11016949152542373,,0.7434922948771345,,0.14172727356958023,0.14172727356958023,average_precision_score,
