system,system_type,threshold_role,tn,fp,fn,tp,sensitivity,sensitivity_unavailable_reason,specificity,specificity_unavailable_reason,precision_ppv,precision_ppv_unavailable_reason,npv,npv_unavailable_reason,fpr,accuracy,balanced_accuracy,f1,f1_unavailable_reason,roc_auc,roc_auc_unavailable_reason,average_precision,auprc,auprc_method,auprc_unavailable_reason,threshold
gmic,individual_model,reference_0.50,6563,1433,193,144,0.42729970326409494,,0.8207853926963482,,0.09131261889663919,,0.9714328004736531,,0.17921460730365182,0.8048721948877955,0.6240425479802216,0.15047021943573669,,0.7149346186446339,,0.07181220762264895,0.07181220762264895,average_precision_score,,0.5
nyu,individual_model,reference_0.50,7477,519,287,50,0.14836795252225518,,0.9350925462731365,,0.08787346221441125,,0.9630345182895415,,0.06490745372686343,0.9032761310452418,0.5417302493976959,0.11037527593818984,,0.6837357848063497,,0.12923157214499306,0.12923157214499306,average_precision_score,,0.5
glam,individual_model,reference_0.50,7928,68,313,24,0.0712166172106825,,0.991495747873937,,0.2608695652173913,,0.9620191724305303,,0.008504252126063032,0.9542781711268451,0.5313561825423098,0.11188811188811189,,0.7051749168352722,,0.14330696792197525,0.14330696792197525,average_precision_score,,0.5
uniform_ensemble,baseline_ensemble,baseline_0.50,7877,119,290,47,0.1394658753709199,,0.9851175587793897,,0.28313253012048195,,0.9644912452552957,,0.014882441220610306,0.9509180367214689,0.5622917170751548,0.18687872763419483,,0.7437594910214751,,0.17346284886383062,0.17346284886383062,average_precision_score,,0.5
selected_ensemble,frozen_ensemble,configuration_selected,4144,3852,49,288,0.8545994065281899,,0.5182591295647824,,0.06956521739130435,,0.988313856427379,,0.4817408704352176,0.5318612744509781,0.6864292680464861,0.12865758320303775,,0.7587421307092715,,0.16542488544424908,0.16542488544424908,average_precision_score,,0.040985
