chunk,model,elapsed_seconds,monitoring_samples,avg_cpu_percent,max_memory_mib,avg_gpu_util_percent,max_gpu_memory_mib
0,gmic,488.5973957590177,157,153.18184713375797,,1.89171974522293,2296.0
0,nyu,73.26908661000198,24,431.8520833333334,,0.5833333333333334,2339.0
0,glam,411.0095322840498,132,162.82560606060605,,3.333333333333333,2543.0
1,gmic,486.5496643240331,156,155.28403846153847,,2.923076923076923,2306.0
1,nyu,69.58429220301332,23,422.0817391304348,,1.2173913043478262,2339.0
1,glam,409.84945073898416,131,163.6354961832061,,3.8396946564885495,2543.0
2,gmic,485.1518053149921,155,162.8485806451613,,2.7419354838709675,2301.0
2,nyu,73.4784407329862,24,458.85083333333336,,2.25,2339.0
2,glam,411.0814606780186,132,173.85689393939396,,2.606060606060606,2543.0
3,gmic,482.9934074789635,155,152.69387096774193,,2.1161290322580646,2433.0
3,nyu,65.48519137402764,21,456.11761904761903,,3.0476190476190474,2471.0
3,glam,404.4369862109888,129,162.64782945736434,,6.317829457364341,2680.0
4,gmic,481.6277256030007,155,154.00206451612902,,1.8193548387096772,2433.0
4,nyu,68.07438508002087,22,453.1818181818182,,2.0,2471.0
4,glam,404.4749525020016,129,165.62751937984495,,3.310077519379845,2680.0
5,gmic,476.0584051180049,153,151.9507843137255,,3.34640522875817,2433.0
5,nyu,64.81953318300657,21,439.16523809523807,,0.3809523809523809,2471.0
5,glam,398.971507743001,128,161.67453125,,2.5390625,2675.0
6,gmic,474.7332882040064,152,156.1665789473684,,2.861842105263158,2438.0
6,nyu,66.59120160900056,21,474.1680952380953,,5.190476190476191,2471.0
6,glam,398.87874693999765,128,165.38765625,,2.6796875,2746.0
7,gmic,473.3057431319612,152,143.9071052631579,,2.7302631578947367,2307.0
7,nyu,54.30656511901179,18,440.5344444444444,,1.2222222222222223,2340.0
7,glam,393.40363952599,126,154.9484126984127,,4.920634920634921,2549.0
8,gmic,482.7411765419529,155,157.8251612903226,,2.703225806451613,2307.0
8,nyu,71.85564603604143,23,450.415652173913,,2.652173913043478,2340.0
8,glam,407.9744928759756,130,168.4403076923077,,3.815384615384616,2544.0
9,gmic,483.5790230980492,155,156.30651612903225,,3.838709677419355,2302.0
9,nyu,68.98524766997434,22,454.9095454545455,,0.8181818181818182,2340.0
9,glam,408.014215090021,131,164.46175572519084,,2.3587786259541983,2544.0
10,gmic,491.0516222669976,157,160.9447770700637,,2.3184713375796178,2398.0
10,nyu,73.84377780399518,24,453.5466666666666,,0.8333333333333334,2461.0
10,glam,417.9560127040022,134,173.01582089552238,,2.485074626865672,2670.0
11,gmic,501.9200735670165,161,158.52875776397516,,3.1180124223602483,2423.0
11,nyu,89.33766420197207,29,410.2424137931035,,1.4482758620689655,2461.0
11,glam,425.7545797600178,136,168.915,,3.3308823529411766,2670.0
12,gmic,491.4342223780113,158,164.50677215189873,,1.8860759493670889,2423.0
12,nyu,75.97493201098405,24,498.5179166666667,,1.0833333333333333,2461.0
12,glam,415.5116233979934,133,174.80105263157895,,3.593984962406015,2665.0
13,gmic,489.5489493750501,157,160.39968152866243,,2.643312101910828,2423.0
13,nyu,72.5643069120124,23,463.1026086956522,,1.6956521739130437,2461.0
13,glam,413.3113946310477,132,167.94371212121212,,3.409090909090909,2665.0
14,gmic,485.4654777420219,156,160.34730769230768,,4.064102564102564,2488.0
14,nyu,78.29836767201778,25,470.1196,,0.4,2324.0
14,glam,411.1081733630272,131,175.43648854961833,,3.2977099236641223,2528.0
15,gmic,480.97774705901975,154,161.57584415584415,,1.7142857142857142,2291.0
15,nyu,72.92103762802435,23,469.2765217391305,,0.217391304347826,2324.0
15,glam,406.3177070530364,129,169.98612403100773,,6.054263565891473,2528.0
16,gmic,489.36208748596255,157,158.07885350318472,,3.0,2286.0
16,nyu,75.08808154397411,24,434.84,,1.125,2329.0
16,glam,414.6731090680114,133,166.74503759398496,,3.962406015037594,2528.0
17,gmic,479.287366006989,154,161.36909090909091,,1.7987012987012987,2286.0
17,nyu,70.527751385991,23,468.4343478260869,,0.9565217391304348,2324.0
17,glam,402.8852900720085,128,171.889375,,5.890625,2672.0
18,gmic,494.74212523398455,159,160.3119496855346,,3.0125786163522013,2430.0
18,nyu,74.98778974701418,24,453.7520833333333,,0.5833333333333334,2468.0
18,glam,414.980159077968,133,170.84067669172933,,3.218045112781955,2677.0
19,gmic,474.2275895259809,152,155.06855263157894,,4.171052631578948,2435.0
19,nyu,62.66290974098956,20,488.4625,,6.7,2468.0
19,glam,401.2342763629858,128,162.946015625,,3.8203125,2763.0
20,gmic,506.5964130469947,162,154.45117283950617,,3.580246913580247,2711.0
20,nyu,75.57070632796967,24,464.20166666666665,,8.375,2735.0
20,glam,413.81127840996487,132,167.45121212121214,,4.7727272727272725,2939.0
21,gmic,495.9852079899865,159,157.4609433962264,,5.144654088050315,2683.0
21,nyu,70.45017555099912,23,459.8808695652174,,7.913043478260869,2721.0
21,glam,413.3713871310465,132,167.07772727272726,,4.234848484848484,2925.0
22,gmic,502.0429060019669,161,158.05913043478262,,4.3602484472049685,2689.0
22,nyu,78.52499077899847,25,451.652,,8.76,2727.0
22,glam,421.6545345819905,135,169.69466666666665,,4.688888888888889,2931.0
23,gmic,499.6633501680335,160,153.9774375,,4.38125,2799.0
23,nyu,75.0885913509992,24,434.0225,,6.208333333333333,2706.0
23,glam,424.970019838016,136,165.06301470588235,,3.286764705882353,3316.0
24,gmic,488.0549683150021,156,153.94762820512818,,0.9935897435897436,2590.0
24,nyu,67.77737405896187,22,459.1359090909091,,1.0,2585.0
24,glam,404.148909423966,129,164.65596899224806,,3.116279069767442,2791.0
25,gmic,489.20011448900914,157,158.17458598726114,,2.242038216560509,2549.0
25,nyu,74.64968943799613,24,449.33833333333337,,2.5416666666666665,2587.0
25,glam,410.8851089780219,131,169.17671755725192,,3.83206106870229,2793.0
26,gmic,486.35541809001006,156,157.75012820512822,,2.333333333333333,2548.0
26,nyu,69.51045063999481,22,465.3022727272728,,5.545454545454546,2584.0
26,glam,408.4538348059869,130,167.54992307692308,,3.953846153846154,2789.0
27,gmic,503.2852438879781,161,159.37037267080746,,1.2173913043478262,2555.0
27,nyu,83.11729630600894,27,409.55,,0.7407407407407407,2589.0
27,glam,423.56657804903807,135,164.8511851851852,,3.9851851851851854,2647.0
28,gmic,492.791956030007,158,156.53107594936708,,3.189873417721519,2409.0
28,nyu,72.57018790696748,23,454.2017391304348,,0.7391304347826086,2442.0
28,glam,413.3593403209816,132,165.69500000000002,,4.159090909090909,2649.0
29,gmic,487.97760512004606,156,156.52685897435896,,4.108974358974359,2408.0
29,nyu,69.28779169800691,22,473.05045454545456,,0.6818181818181818,2441.0
29,glam,411.0899099290255,131,167.932213740458,,2.870229007633588,2648.0
30,gmic,482.0791653110064,155,152.24316129032258,,2.458064516129032,2409.0
30,nyu,57.06979160802439,18,491.67388888888894,,1.2777777777777777,2441.0
30,glam,400.3470643879846,128,156.866171875,,3.875,2648.0
31,gmic,486.9825714419712,156,157.33326923076925,,2.198717948717949,2534.0
31,nyu,71.14408994099358,23,460.84434782608696,,1.608695652173913,2568.0
31,glam,411.019358081976,131,168.26519083969467,,4.091603053435114,2773.0
32,gmic,483.047017439967,155,156.47051612903226,,3.941935483870968,2531.0
32,nyu,69.58738187403651,22,472.9531818181818,,2.363636363636364,2568.0
32,glam,408.63994677900337,130,167.77015384615385,,4.1,2778.0
33,gmic,475.1929162549786,152,155.4728947368421,,2.6447368421052637,2533.0
33,nyu,63.78881071996875,21,460.3495238095238,,2.523809523809524,2569.0
33,glam,399.1863607740379,128,164.46375,,2.15625,2778.0
34,gmic,479.9207558759954,154,152.04103896103896,,3.0,2532.0
34,nyu,62.02630788896931,20,465.2055,,3.2,2569.0
34,glam,401.1009050519788,128,160.438828125,,3.0234375,2776.0
35,gmic,489.65195100801066,157,157.66057324840764,,2.859872611464968,2391.0
35,nyu,73.25181266700383,24,440.1170833333333,,1.375,2424.0
35,glam,412.12056068499805,131,166.7381679389313,,5.572519083969466,2632.0
36,gmic,489.7326193170156,157,161.1708280254777,,2.2929936305732483,2392.0
36,nyu,81.10298697696999,26,443.0261538461539,,0.6538461538461539,2425.0
36,glam,415.1779482229613,132,174.33257575757577,,3.265151515151515,2629.0
37,gmic,477.3530004079803,153,149.259477124183,,2.764705882352941,2391.0
37,nyu,58.62009821500397,19,434.4884210526316,,4.789473684210527,2424.0
37,glam,399.5289787520305,128,157.04796875,,3.6328125,2631.0
38,gmic,488.04494758398505,156,150.74711538461537,,4.019230769230769,2389.0
38,nyu,67.83230933803134,22,436.10090909090906,,1.2272727272727273,2429.0
38,glam,408.1475079579977,130,161.4036153846154,,2.3461538461538463,2770.0
39,gmic,488.161527335993,156,161.3776923076923,,2.198717948717949,2532.0
39,nyu,71.06138312100666,23,463.4921739130435,,0.7391304347826086,2566.0
39,glam,411.911019125022,131,168.83343511450383,,4.648854961832061,2774.0
40,gmic,481.9392923170235,154,149.260974025974,,2.1493506493506493,2532.0
40,nyu,60.58750855800463,20,446.1085,,1.15,2566.0
40,glam,405.4072717029485,129,161.8941860465116,,3.302325581395349,2773.0
41,gmic,477.9459512439789,153,149.250522875817,,1.8758169934640525,2529.0
41,nyu,61.605134433018975,20,440.989,,2.0,2567.0
41,glam,400.7865496929735,127,158.0791338582677,,6.062992125984252,2775.0
42,gmic,480.7552660140209,154,151.19116883116882,,1.5324675324675323,2600.0
42,nyu,60.6490651940112,20,464.4865,,1.9,2414.0
42,glam,402.784850228054,128,162.746328125,,2.7890625,2619.0
43,gmic,478.4006477800431,153,154.04751633986928,,2.2091503267973858,2381.0
43,nyu,62.156583522039,20,467.1325,,0.85,2414.0
43,glam,401.9712774560321,128,162.114296875,,3.3828125,2621.0
44,gmic,482.6675900090486,155,155.68870967741935,,1.864516129032258,2379.0
44,nyu,65.06361040798947,21,468.76047619047614,,0.0952380952380952,2414.0
44,glam,404.9421867239871,129,165.5862015503876,,4.682170542635659,2622.0
45,gmic,482.1239616999519,155,154.1528387096774,,2.95483870967742,2377.0
45,nyu,69.06448384100804,22,454.6868181818182,,1.5454545454545454,2414.0
45,glam,408.93124135996914,130,167.47276923076922,,2.976923076923077,2624.0
46,gmic,484.9278081639786,155,154.1647741935484,,3.167741935483871,2530.0
46,nyu,67.16171101399232,22,443.5781818181818,,1.0,2566.0
46,glam,408.6284765339806,130,164.8813076923077,,3.1846153846153844,2774.0
47,gmic,484.049817594001,155,152.71961290322582,,2.393548387096774,2528.0
47,nyu,68.50712137599476,22,450.7890909090909,,2.590909090909091,2566.0
47,glam,407.3039998839959,130,161.15507692307693,,2.0307692307692307,2770.0
48,gmic,497.20298184698913,159,156.9162893081761,,2.3270440251572326,2529.0
48,nyu,81.2167417719611,26,416.99923076923073,,2.0384615384615383,2566.0
48,glam,424.2697469199775,135,167.0758518518519,,2.703703703703704,2770.0
49,gmic,491.0005681850016,157,150.07853503184714,,1.5031847133757965,2532.0
49,nyu,67.96980246301973,22,428.4450000000001,,4.409090909090909,2566.0
49,glam,411.8028495140025,131,161.93770992366413,,3.0076335877862594,2834.0
50,gmic,486.7812064799946,156,155.46314102564102,,2.2628205128205128,2452.0
50,nyu,67.93867864500498,22,466.1522727272728,,2.227272727272727,2485.0
50,glam,412.2949819610221,131,166.37893129770993,,2.6793893129771,2692.0
51,gmic,484.7367987439502,155,156.70761290322582,,2.967741935483871,2452.0
51,nyu,67.04214482399402,22,458.4313636363637,,0.7727272727272727,2485.0
51,glam,407.183293664013,130,164.63923076923075,,2.576923076923077,2692.0
52,gmic,478.46061086899135,153,151.01686274509805,,2.3986928104575163,2450.0
52,nyu,65.53247694898164,21,429.62619047619046,,0.9047619047619048,2489.0
52,glam,402.26790944399545,128,159.93453125,,3.1328125,2690.0
53,gmic,489.6717989539611,157,157.38853503184714,,2.070063694267516,2607.0
53,nyu,72.17753437999636,23,449.3456521739131,,0.8695652173913043,2434.0
53,glam,411.1861103189876,131,165.18526717557253,,3.2748091603053435,2642.0
54,gmic,487.1413472430431,156,158.21788461538463,,1.858974358974359,2398.0
54,nyu,71.408311777981,23,466.0360869565217,,2.4782608695652173,2434.0
54,glam,408.62433220801177,130,166.88761538461537,,5.053846153846154,2643.0
55,gmic,484.6310220430023,155,159.84374193548388,,1.7161290322580645,2398.0
55,nyu,70.4817860480398,23,449.9495652173913,,1.826086956521739,2433.0
55,glam,407.4419441259816,129,168.07031007751937,,3.798449612403101,2641.0
56,gmic,491.47144779301016,157,154.5543949044586,,2.1910828025477707,2400.0
56,nyu,72.15458213101374,23,437.3978260869565,,0.0,2433.0
56,glam,414.98518332099775,132,164.2678787878788,,4.204545454545454,2641.0
57,gmic,488.6415297209751,156,152.18173076923077,,2.9423076923076925,2562.0
57,nyu,70.6792850199854,23,426.59869565217394,,0.6086956521739131,2595.0
57,glam,410.69992187200114,130,162.19130769230767,,2.0846153846153848,2801.0
58,gmic,492.3387042800314,157,166.3103821656051,,3.1974522292993632,2562.0
58,nyu,79.45075369800907,25,483.744,,4.0,2595.0
58,glam,414.2656385799637,131,178.212213740458,,3.2748091603053435,2802.0
59,gmic,477.3856922160485,153,148.90660130718953,,1.7647058823529411,2562.0
59,nyu,60.26855900703231,20,435.131,,2.1,2595.0
59,glam,398.29442655603634,126,158.33857142857144,,2.6031746031746037,2801.0
60,gmic,480.1055250010104,154,148.82123376623375,,2.74025974025974,2558.0
60,nyu,61.193969985004514,20,426.4255,,1.7,2595.0
60,glam,401.4005263419822,127,158.73692913385827,,4.574803149606299,2866.0
61,gmic,488.04108095000265,156,155.85807692307694,,3.608974358974359,2439.0
61,nyu,67.63419364602305,22,466.3677272727273,,0.8181818181818182,2473.0
61,glam,410.9885898340144,131,166.3071755725191,,2.5572519083969465,2682.0
