left,right,pearson,spearman
gmic,nyu,0.3624924971412937,0.31745889353631024
gmic,glam,0.06480369256777344,0.12845125712621608
gmic,baseline_ensemble,0.8979554455690166,0.9453565640475533
nyu,glam,0.40123879292712816,0.6029372113829582
nyu,baseline_ensemble,0.6855362801266668,0.4906078303443516
glam,baseline_ensemble,0.40700248146839607,0.2524420240491972
