left,right,pearson,spearman
gmic,nyu,0.3626691656585681,0.30680365024289
gmic,glam,0.07274095813178894,0.12876458196827414
gmic,baseline_ensemble,0.9019756194647356,0.9516259040410473
nyu,glam,0.4538732626812616,0.6052309892455613
nyu,baseline_ensemble,0.6897200280376181,0.4778659174389128
glam,baseline_ensemble,0.40988903288188216,0.24868903884191915
