model,roc_auc,average_precision,auprc,auprc_method,roc_auc_ci95_low,roc_auc_ci95_high,bootstrap_replicates,bootstrap_method,mean_benign,mean_malignant,median_benign,median_malignant,min_score,max_score,directionality_warning
gmic,0.7149346186446339,0.07181220762264895,0.07181220762264895,average_precision_score,0.6885412244326912,0.7389980552219731,2000,stratified_by_class,0.23940375187593796,0.48305548961424327,0.0646,0.4042,0.0036,1.0,False
nyu,0.6837357848063497,0.12923157214499306,0.12923157214499306,average_precision_score,0.651964251784646,0.7144286813287949,2000,stratified_by_class,0.09969542271135569,0.21828813056379823,0.0495,0.1275,0.0,0.9971,False
glam,0.7051749168352722,0.14330696792197525,0.14330696792197525,average_precision_score,0.6682098282078724,0.7390834883317029,2000,stratified_by_class,0.04522655077538769,0.15572284866468844,0.0181,0.0835,0.0,0.9838,False
baseline_ensemble,0.7437594910214751,0.17346284886383062,0.17346284886383062,average_precision_score,0.7149040117239629,0.7702049977139905,2000,stratified_by_class,0.12810849223886944,0.2856886929816023,0.058266660799999995,0.2681331723,0.0079000007,0.9344999041000001,False
