chunk,model,elapsed_seconds,monitoring_samples,avg_cpu_percent,max_memory_mib,avg_gpu_util_percent,max_gpu_memory_mib
0,gmic,478.05571223501465,154,151.6192857142857,,1.8051948051948048,2583.0
0,nyu,66.41160343799856,22,421.9859090909091,,3.0,2613.0
0,glam,400.3314176709973,129,161.8379069767442,,2.612403100775194,2821.0
1,gmic,489.222471001005,157,161.01452229299363,,2.5031847133757963,2584.0
1,nyu,79.22482486598892,26,449.7396153846154,,1.6538461538461535,2614.0
1,glam,413.8638350519759,133,174.186015037594,,2.917293233082707,2971.0
2,gmic,487.8355940580077,157,161.30987261146498,,2.751592356687898,2730.0
2,nyu,76.38377761997981,25,455.916,,0.8,2758.0
2,glam,411.2287658780115,132,170.6021212121212,,3.333333333333333,2969.0
3,gmic,486.0481747899903,156,157.75698717948717,,3.4294871794871797,2730.0
3,nyu,70.36875694099581,23,452.39608695652174,,0.8695652173913043,2763.0
3,glam,408.9681833880022,132,166.4492424242424,,2.636363636363636,2972.0
4,gmic,490.964948067005,158,163.0106329113924,,2.607594936708861,2729.0
4,nyu,74.48402517000795,24,479.63375,,1.5416666666666667,2758.0
4,glam,413.5070232109865,133,173.28541353383457,,4.428571428571429,2972.0
5,gmic,484.3950507919944,156,150.01743589743592,,1.0576923076923077,2765.0
5,nyu,62.25143118598498,20,454.328,,1.85,2638.0
5,glam,406.4501083799987,131,156.89137404580154,,4.908396946564886,2852.0
6,gmic,498.4293031370034,160,162.370625,,2.4625,2610.0
6,nyu,83.91773884999566,27,438.5329629629629,,3.555555555555556,2641.0
6,glam,421.4436089569936,135,171.51014814814815,,2.829629629629629,2852.0
7,gmic,496.0498493030027,159,169.0879245283019,,2.6226415094339623,2610.0
7,nyu,88.73680276598316,28,458.7721428571429,,0.25,2638.0
7,glam,420.439581359009,135,179.1037037037037,,4.281481481481482,2852.0
8,gmic,471.7927690939978,152,147.46407894736842,,2.986842105263158,2610.0
8,nyu,56.51651821201085,18,466.3594444444444,,1.6111111111111112,2638.0
8,glam,393.5453826980083,127,157.33251968503936,,2.094488188976378,2969.0
9,gmic,480.3891614039894,155,150.82290322580644,,2.6129032258064515,2727.0
9,nyu,64.75480168301146,21,459.9538095238096,,0.6190476190476191,2757.0
9,glam,405.0544000999944,130,162.74576923076924,,4.5,2969.0
10,gmic,479.5845944200119,154,158.55344155844156,,2.792207792207792,2722.0
10,nyu,71.91811842200696,23,463.08,,2.739130434782609,2765.0
10,glam,403.51881404197775,130,167.97223076923078,,2.1538461538461537,2965.0
11,gmic,482.8520723499824,155,161.16225806451615,,1.367741935483871,2727.0
11,nyu,73.1594207950111,24,461.59791666666666,,0.9583333333333334,2755.0
11,glam,406.1826271050086,131,169.9172519083969,,3.2977099236641223,2969.0
12,gmic,493.5030423900171,159,160.06,,2.5283018867924527,2727.0
12,nyu,82.14614925600472,26,444.7307692307692,,2.3076923076923075,2800.0
12,glam,418.9218787410064,135,169.50244444444445,,4.592592592592593,2835.0
13,gmic,480.36189836397534,154,156.87474025974026,,1.2662337662337662,2594.0
13,nyu,65.78621717498754,21,465.7314285714286,,1.761904761904762,2622.0
13,glam,399.8094501140004,128,162.165234375,,3.7421875,2831.0
14,gmic,479.4321989400196,154,147.44792207792207,,3.272727272727273,2593.0
14,nyu,61.32191074301954,20,436.5825,,2.8,2622.0
14,glam,402.15271661800216,129,157.6539534883721,,3.488372093023256,2835.0
15,gmic,484.8913694579969,156,159.82641025641024,,1.8333333333333333,2594.0
15,nyu,74.22599132501637,24,452.2995833333334,,1.6666666666666667,2621.0
15,glam,409.01302791698254,131,172.42236641221376,,4.938931297709924,2835.0
16,gmic,490.8668275350065,158,162.1570253164557,,2.8797468354430378,2728.0
16,nyu,75.08020526601467,24,475.9554166666667,,0.0,2756.0
16,glam,415.4448674519954,134,172.83276119402984,,4.014925373134329,2971.0
17,gmic,481.1662537390075,155,154.72767741935485,,1.3741935483870968,2728.0
17,nyu,62.3112112559902,20,499.2065,,1.5,2757.0
17,glam,403.56763176000095,130,164.12592307692307,,4.838461538461538,2970.0
18,gmic,479.8258159599791,154,149.21935064935064,,1.5584415584415583,2728.0
18,nyu,57.92906068099546,19,449.531052631579,,1.631578947368421,2757.0
18,glam,399.3365133949847,129,154.74604651162792,,2.186046511627907,2970.0
19,gmic,474.1713945619995,153,149.19647058823531,,3.235294117647059,2728.0
19,nyu,61.034408298000926,20,438.052,,2.25,2756.0
19,glam,398.4098003169929,128,157.379296875,,2.5703125,3006.0
20,gmic,472.6021415660216,152,151.68,,3.486842105263158,2659.0
20,nyu,61.26717861602083,20,440.1285,,0.0,2687.0
20,glam,397.3027699099912,128,158.94171875,,2.1015625,2901.0
21,gmic,481.2612993159855,155,151.16806451612902,,5.025806451612903,2655.0
21,nyu,67.42382579800324,22,415.2872727272727,,0.9090909090909092,2687.0
21,glam,405.3810536819801,130,160.45284615384614,,2.5846153846153848,2901.0
22,gmic,474.6772921270167,153,147.38,,3.117647058823529,2659.0
22,nyu,62.76405416999478,20,459.78,,2.5,2693.0
22,glam,398.2197025830101,128,157.674921875,,4.296875,2901.0
23,gmic,479.50565087399445,154,152.55376623376625,,2.8181818181818183,2660.0
23,nyu,62.30400886200368,20,464.2995,,5.55,2688.0
23,glam,402.4719733710226,130,160.10723076923077,,4.776923076923077,2964.0
24,gmic,499.33930945800967,160,157.4426875,,2.54375,2588.0
24,nyu,76.72947837400716,25,444.9552,,0.68,2616.0
24,glam,418.2329890060064,135,167.60903703703704,,3.3925925925925924,2830.0
25,gmic,483.8731954169925,156,153.10967948717948,,2.019230769230769,2978.0
25,nyu,66.8195852630015,22,448.8018181818181,,0.1818181818181818,2766.0
25,glam,405.9322219220048,130,164.03346153846152,,3.392307692307692,3267.0
26,gmic,493.742815295991,159,157.94949685534593,,4.245283018867925,2801.0
26,nyu,79.36012058198685,26,418.6896153846154,,1.3076923076923077,2839.0
26,glam,417.17857325598015,134,165.34171641791045,,3.5074626865671643,3043.0
27,gmic,493.832854089007,159,165.00188679245284,,2.477987421383648,2800.0
27,nyu,81.5131245579978,26,473.2634615384616,,0.0,2833.0
27,glam,417.142326954985,134,176.20798507462686,,5.067164179104478,3042.0
28,gmic,491.12466734802,158,155.685,,2.7468354430379747,2808.0
28,nyu,74.98486414499348,24,442.7275,,0.8333333333333334,2840.0
28,glam,414.4894367429952,133,169.25443609022557,,4.2105263157894735,3050.0
29,gmic,490.1084705130197,158,158.3240506329114,,3.708860759493671,2915.0
29,nyu,73.08282507097465,24,452.09375,,0.0,2737.0
